1001,1,0,0,0,0,0,0,0,0,1,0,0,0
1001,2,0,0,0,0,0,0,1,0,0,0,0,0
1001,3,0,0,0,0,1,1,0,0,0,0,0,0
1001,4,0,0,0,0,1,1,0,0,0,0,0,0
1001,5,0,0,0,0,0,0,0,0,1,0,0,0
1001,6,0,0,0,0,0,0,0,0,0,0,0,0
1001,7,0,0,0,0,0,0,0,0,0,0,0,0
1001,8,0,0,0,0,0,0,0,0,0,0,0,0
1001,9,0,0,0,0,0,0,0,0,1,0,0,0
1006,1,0,0,0,0,0,0,0,1,0,0,0,0
1006,2,0,0,0,0,0,0,1,0,1,0,1,1
1006,3,0,0,0,0,0,0,0,0,0,0,0,0
1006,4,0,1,0,0,0,0,0,0,0,0,0,0
1006,5,0,0,0,0,0,0,0,0,0,0,0,0
1006,6,0,0,0,0,0,0,0,0,0,1,1,1
1006,7,0,0,0,0,0,0,0,0,0,0,0,0
1094,1,0,0,0,0,0,0,0,1,0,0,0,0
1094,2,0,1,0,0,0,0,0,0,0,0,0,0
1094,3,0,0,0,0,0,0,0,0,0,0,1,0
1094,4,0,0,0,0,0,0,0,0,0,0,1,0
1094,5,0,0,0,0,0,0,0,0,0,0,1,1
1101,1,0,0,0,0,0,0,0,0,0,0,1,0
1101,2,0,0,0,0,0,0,0,1,0,0,0,1
1101,3,0,0,0,0,0,0,0,1,0,0,0,0
1101,4,0,1,0,0,0,0,0,0,0,0,0,0
1101,5,0,1,0,0,0,0,0,0,0,0,0,0
1112,1,0,0,0,0,0,0,0,1,0,0,0,0
1112,2,0,1,0,0,0,0,0,0,0,0,0,0
1112,3,0,0,0,0,0,1,0,0,0,0,1,0
1112,4,0,1,0,0,0,0,0,0,0,0,0,0
1112,5,0,0,0,0,0,0,0,0,0,0,0,0
1112,6,0,1,0,0,0,0,0,0,0,0,0,0
1112,7,0,0,0,0,0,0,0,1,0,0,0,0
1118,1,0,0,0,0,0,0,0,0,0,0,0,0
1118,2,0,0,0,0,0,0,0,0,1,0,0,0
1118,3,0,0,0,0,0,0,1,0,1,0,0,0
1118,4,0,0,0,0,0,0,0,0,0,0,0,0
1118,5,0,0,0,0,0,1,0,0,0,0,0,0
1118,6,0,0,0,0,0,0,0,0,0,1,0,0
1118,7,0,0,0,0,0,0,0,0,1,1,0,0
1118,8,0,0,0,0,0,0,0,0,1,1,0,0
1118,9,0,0,0,0,0,0,0,0,0,0,0,0
